#TimeIteration Time SubCycles NewtonSteps Lx Ly Lz 
0 0.000000e+00 0 0 0.000000e+00 0.000000e+00 0.000000e+00 
1 5.000000e-08 1 1 1.552453e+01 3.378285e-02 0.000000e+00 
2 1.500000e-07 1 1 4.656488e+01 1.010153e-01 0.000000e+00 
3 2.500000e-07 1 1 7.759366e+01 1.678043e-01 3.946088e-13 
4 3.500000e-07 1 1 1.086109e+02 2.341505e-01 2.208748e-12 
5 4.500000e-07 1 1 1.396166e+02 3.000549e-01 6.685303e-12 
6 5.500000e-07 1 1 1.706107e+02 3.655183e-01 1.563792e-11 
7 6.500000e-07 1 1 2.015934e+02 4.305414e-01 3.129543e-11 
8 7.500000e-07 1 1 2.325647e+02 4.951251e-01 5.632563e-11 
9 8.500000e-07 1 1 2.635245e+02 5.592702e-01 9.383308e-11 
10 9.500000e-07 1 1 2.944728e+02 6.229776e-01 1.473537e-10 
11 1.050000e-06 1 1 3.254098e+02 6.862479e-01 2.208524e-10 
12 1.150000e-06 1 1 3.563354e+02 7.490822e-01 3.187185e-10 
13 1.250000e-06 1 1 3.872497e+02 8.114811e-01 4.457617e-10 
14 1.350000e-06 1 1 4.181527e+02 8.734454e-01 6.072055e-10 
15 1.450000e-06 1 1 4.490443e+02 9.349761e-01 8.086837e-10 
16 1.550000e-06 1 1 4.799247e+02 9.960738e-01 1.056235e-09 
17 1.650000e-06 1 1 5.107938e+02 1.056739e+00 1.356296e-09 
18 1.750000e-06 1 1 5.416517e+02 1.116974e+00 1.715695e-09 
19 1.850000e-06 1 1 5.724984e+02 1.176778e+00 2.141647e-09 
20 1.950000e-06 1 1 6.033339e+02 1.236152e+00 2.641748e-09 
21 2.050000e-06 1 1 6.341583e+02 1.295097e+00 3.223962e-09 
22 2.150000e-06 1 1 6.649715e+02 1.353614e+00 3.896624e-09 
23 2.250000e-06 1 1 6.957736e+02 1.411704e+00 4.668423e-09 
24 2.350000e-06 1 1 7.265646e+02 1.469368e+00 5.548400e-09 
25 2.450000e-06 1 1 7.573446e+02 1.526605e+00 6.545938e-09 
26 2.550000e-06 1 1 7.881135e+02 1.583418e+00 7.670756e-09 
27 2.650000e-06 1 1 8.188714e+02 1.639807e+00 8.932900e-09 
28 2.750000e-06 1 1 8.496182e+02 1.695772e+00 1.034273e-08 
29 2.850000e-06 1 1 8.803541e+02 1.751315e+00 1.191093e-08 
30 2.950000e-06 1 1 9.110791e+02 1.806436e+00 1.364848e-08 
31 3.050000e-06 1 1 9.417931e+02 1.861136e+00 1.556663e-08 
32 3.150000e-06 1 1 9.724962e+02 1.915416e+00 1.767696e-08 
33 3.250000e-06 1 1 1.003188e+03 1.969277e+00 1.999129e-08 
34 3.350000e-06 1 1 1.033870e+03 2.022719e+00 2.252172e-08 
35 3.450000e-06 1 1 1.064540e+03 2.075744e+00 2.528062e-08 
36 3.550000e-06 1 1 1.095200e+03 2.128351e+00 2.828059e-08 
37 3.650000e-06 1 1 1.125849e+03 2.180542e+00 3.153450e-08 
38 3.750000e-06 1 1 1.156487e+03 2.232318e+00 3.505543e-08 
39 3.850000e-06 1 1 1.187114e+03 2.283679e+00 3.885669e-08 
40 3.950000e-06 1 1 1.217731e+03 2.334626e+00 4.295181e-08 
41 4.050000e-06 1 1 1.248337e+03 2.385160e+00 4.735454e-08 
42 4.150000e-06 1 1 1.278932e+03 2.435282e+00 5.207882e-08 
43 4.250000e-06 1 1 1.309517e+03 2.484992e+00 5.713878e-08 
44 4.350000e-06 1 1 1.340091e+03 2.534291e+00 6.254874e-08 
45 4.450000e-06 1 1 1.370654e+03 2.583180e+00 6.832319e-08 
46 4.550000e-06 1 1 1.401207e+03 2.631661e+00 7.447680e-08 
47 4.650000e-06 1 1 1.431749e+03 2.679732e+00 8.102440e-08 
48 4.750000e-06 1 1 1.462281e+03 2.727396e+00 8.798097e-08 
49 4.850000e-06 1 1 1.492802e+03 2.774653e+00 9.536165e-08 
50 4.950000e-06 1 1 1.523312e+03 2.821504e+00 1.031817e-07 
51 5.050000e-06 1 1 1.553813e+03 2.867950e+00 1.114565e-07 
52 5.150000e-06 1 1 1.584302e+03 2.913991e+00 1.202017e-07 
53 5.250000e-06 1 1 1.614781e+03 2.959628e+00 1.294328e-07 
54 5.350000e-06 1 1 1.645250e+03 3.004861e+00 1.391657e-07 
55 5.450000e-06 1 1 1.675709e+03 3.049693e+00 1.494162e-07 
56 5.550000e-06 1 1 1.706157e+03 3.094123e+00 1.602003e-07 
57 5.650000e-06 1 1 1.736594e+03 3.138152e+00 1.715341e-07 
58 5.750000e-06 1 1 1.767022e+03 3.181781e+00 1.834338e-07 
59 5.850000e-06 1 1 1.797439e+03 3.225011e+00 1.959157e-07 
60 5.950000e-06 1 1 1.827845e+03 3.267842e+00 2.089962e-07 
61 6.050000e-06 1 1 1.858242e+03 3.310276e+00 2.226916e-07 
62 6.150000e-06 1 1 1.888628e+03 3.352312e+00 2.370185e-07 
63 6.250000e-06 1 1 1.919004e+03 3.393953e+00 2.519935e-07 
64 6.350000e-06 1 1 1.949370e+03 3.435197e+00 2.676333e-07 
65 6.450000e-06 1 1 1.979725e+03 3.476047e+00 2.839546e-07 
66 6.550000e-06 1 1 2.010071e+03 3.516503e+00 3.009742e-07 
67 6.650000e-06 1 1 2.040406e+03 3.556565e+00 3.187091e-07 
68 6.750000e-06 1 1 2.070731e+03 3.596235e+00 3.371760e-07 
69 6.850000e-06 1 1 2.101047e+03 3.635513e+00 3.563921e-07 
70 6.950000e-06 1 1 2.131352e+03 3.674401e+00 3.763743e-07 
71 7.050000e-06 1 1 2.161647e+03 3.712897e+00 3.971398e-07 
